Country,University,Founded,Type,Enrollment,link
Albania,University of Tirana,1957,Public,35000,https://en.wikipedia.org/wiki/Albania
Algeria,Constantine University,1978,Public,85000,https://en.wikipedia.org/wiki/Algeria
Angola,Agostinho Neto University,1962,Public,29827,https://en.wikipedia.org/wiki/Angola
Argentina,University of Buenos Aires,1821,Public,311175,https://en.wikipedia.org/wiki/Argentina
Australia,Monash University,1958,Public,73807,https://en.wikipedia.org/wiki/Australia
Austria,University of Vienna,1365,Public,91000,https://en.wikipedia.org/wiki/Austria
Bangladesh,"National University, Bangladesh",1992,Public,2097182,https://en.wikipedia.org/wiki/Bangladesh
Belarus,Belarusian State University,1921,Public,25500,https://en.wikipedia.org/wiki/Belarus
Belgium,KU Leuven,1425,"Private, state-funded",55484,https://en.wikipedia.org/wiki/Belgium
Bosnia and Herzegovina,University of Sarajevo,1949,Public,30866,https://en.wikipedia.org/wiki/Bosnia_and_Herzegovina
Botswana,University of Botswana,1982,Public,32000,https://en.wikipedia.org/wiki/Botswana
Brazil,EstÃ¡cio de SÃ¡ University,1970,Private,215000,https://en.wikipedia.org/wiki/Brazil
Bulgaria,Sofia University,1888,Public,18911,https://en.wikipedia.org/wiki/Bulgaria
Canada,University of Toronto,1827,Public,84000,https://en.wikipedia.org/wiki/Canada
China,Shanghai Open University,1960,Public,80000,https://en.wikipedia.org/wiki/China
Colombia,National University of Colombia,1867,Public,53581,https://en.wikipedia.org/wiki/Colombia
Costa Rica,Universidad de Costa Rica,1940,Public,42750,https://en.wikipedia.org/wiki/Costa_Rica
Croatia,University of Zagreb,1669,Public,72480,https://en.wikipedia.org/wiki/File:Flag_of_Croatia_at_the_UN.svg
Denmark,Aarhus University,1928,Public,43600,https://en.wikipedia.org/wiki/Denmark
Dominican Republic,Universidad AutÃ³noma de Santo Domingo,1538,Public,170530,https://en.wikipedia.org/wiki/Dominican_Republic
Egypt,Ain Shams University,1950,Public,170000,https://en.wikipedia.org/wiki/Egypt
Finland,University of Helsinki,1640,Public,36500,https://en.wikipedia.org/wiki/Finland
France,Centre national d'enseignement Ã  distance,1939,Public,350000,https://en.wikipedia.org/wiki/France
Germany,IU International University of Applied Sciences,1998,Private,130000,https://en.wikipedia.org/wiki/Germany
Greece,National and Kapodistrian University of Athens,1837,Public,104000,https://en.wikipedia.org/wiki/Greece
Guatemala,Universidad de San Carlos de Guatemala,1676,Public,124000,https://en.wikipedia.org/wiki/Guatemala
Hong Kong,Hong Kong Polytechnic University,1937,Public,32000,https://en.wikipedia.org/wiki/Hong_Kong
Iceland,University of Iceland,1911,Public,13782,https://en.wikipedia.org/wiki/Iceland
India,Indira Gandhi National Open University,1985,Public,7140000,https://en.wikipedia.org/wiki/India
Indonesia,Universitas Terbuka,1984,Public,1045665,https://en.wikipedia.org/wiki/Indonesia
Iran,Islamic Azad University,1982,Semi-private,1000000,https://en.wikipedia.org/wiki/Iran
Ireland,University College Dublin,1834,Public (formerly private),32900,https://en.wikipedia.org/wiki/Republic_of_Ireland
Israel,Tel Aviv University,1956,Public,26023,https://en.wikipedia.org/wiki/Israel
Italy,Sapienza University of Rome,1303,Public,112564,https://en.wikipedia.org/wiki/Italy
Japan,Nihon University,1889,Private,70667,https://en.wikipedia.org/wiki/Japan
Kenya,University of Nairobi,1970,Public,84000,https://en.wikipedia.org/wiki/Kenya
Kosovo,Universiteti i PrishtinÃ«s,1999,Public,41833,https://en.wikipedia.org/wiki/Kosovo
Lithuania,Vilnius University,1579,Public,23606,https://en.wikipedia.org/wiki/Lithuania
Macau,Macau University of Science and Technology,2000,Private,10373,https://en.wikipedia.org/wiki/Macau
